COUNTRY_code,Country,SEO,Socio economic objective,MEASURE_id,Measure,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period,Value,Flag Codes,Flags
AUS,Australia,NABS09,Education,MIO_NAC,National Currency,2017,AUD,Australian Dollar,6,Millions,,20.789,D; P,Difference in methodology; Provisional value
AUS,Australia,NABS09,Education,MIO_NAC,National Currency,2018,AUD,Australian Dollar,6,Millions,,24.317,D; P,Difference in methodology; Provisional value
AUS,Australia,NABS10,"Culture, recreation, religion and mass media",MIO_NAC,National Currency,2010,AUD,Australian Dollar,6,Millions,,54.537,D,Difference in methodology
AUS,Australia,NABS10,"Culture, recreation, religion and mass media",MIO_NAC,National Currency,2011,AUD,Australian Dollar,6,Millions,,50.345,D,Difference in methodology
AUS,Australia,NABS10,"Culture, recreation, religion and mass media",MIO_NAC,National Currency,2012,AUD,Australian Dollar,6,Millions,,46.1,D,Difference in methodology
AUS,Australia,NABS10,"Culture, recreation, religion and mass media",MIO_NAC,National Currency,2013,AUD,Australian Dollar,6,Millions,,37.919,D,Difference in methodology
AUS,Australia,NABS10,"Culture, recreation, religion and mass media",MIO_NAC,National Currency,2014,AUD,Australian Dollar,6,Millions,,38.047,D,Difference in methodology
AUS,Australia,NABS10,"Culture, recreation, religion and mass media",MIO_NAC,National Currency,2015,AUD,Australian Dollar,6,Millions,,33.974,D,Difference in methodology
AUS,Australia,NABS10,"Culture, recreation, religion and mass media",MIO_NAC,National Currency,2016,AUD,Australian Dollar,6,Millions,,39.039,D,Difference in methodology
AUS,Australia,NABS10,"Culture, recreation, religion and mass media",MIO_NAC,National Currency,2017,AUD,Australian Dollar,6,Millions,,35.137,D; P,Difference in methodology; Provisional value
AUS,Australia,NABS10,"Culture, recreation, religion and mass media",MIO_NAC,National Currency,2018,AUD,Australian Dollar,6,Millions,,36.514,D; P,Difference in methodology; Provisional value
AUS,Australia,NABS11,"Political and social systems, structures and processes",MIO_NAC,National Currency,2010,AUD,Australian Dollar,6,Millions,,271.503,D,Difference in methodology
AUS,Australia,NABS11,"Political and social systems, structures and processes",MIO_NAC,National Currency,2011,AUD,Australian Dollar,6,Millions,,227.628,D,Difference in methodology
AUS,Australia,NABS11,"Political and social systems, structures and processes",MIO_NAC,National Currency,2012,AUD,Australian Dollar,6,Millions,,184.746,D,Difference in methodology
AUS,Australia,NABS11,"Political and social systems, structures and processes",MIO_NAC,National Currency,2013,AUD,Australian Dollar,6,Millions,,170.477,D,Difference in methodology
AUS,Australia,NABS11,"Political and social systems, structures and processes",MIO_NAC,National Currency,2014,AUD,Australian Dollar,6,Millions,,150.307,D,Difference in methodology
AUS,Australia,NABS11,"Political and social systems, structures and processes",MIO_NAC,National Currency,2015,AUD,Australian Dollar,6,Millions,,179.552,D,Difference in methodology
AUS,Australia,NABS11,"Political and social systems, structures and processes",MIO_NAC,National Currency,2016,AUD,Australian Dollar,6,Millions,,200.667,D,Difference in methodology
AUS,Australia,NABS11,"Political and social systems, structures and processes",MIO_NAC,National Currency,2017,AUD,Australian Dollar,6,Millions,,84.943,D; P,Difference in methodology; Provisional value
AUS,Australia,NABS11,"Political and social systems, structures and processes",MIO_NAC,National Currency,2018,AUD,Australian Dollar,6,Millions,,88.128,D; P,Difference in methodology; Provisional value
