"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Cote d'Ivoire","CIV","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.2069702148438","","","","","","","","","","","","","",
"Cameroon","CMR","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.22867012023926","","","",
"Congo, Rep.","COG","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.3188781738281","48.101749420166","39.4462394714355","35.1523895263672","31.5432796478271","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.1200408935547","74.1614608764648","","","99.2716217041016","111.150581359863","126.83358001709","138.346969604492","110.367492675781","121.604309082031","137.318466186523","153.704666137695","166.815933227539","172.031204223633","197.783874511719","196.519485473633","187.98356628418","165.178146362305","118.246520996094","131.959823608398","","","",
"Comoros","COM","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.416221618652","132.71223449707","","","","","","","","","49.2061080932617","","","","","","","",
"Costa Rica","CRI","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","132.81721496582","109.624031066895","124.015937805176","","","263.008880615234","342.003143310547","384.574768066406","409.088287353516","339.698883056641","357.810546875","572.98095703125","","","","",
"Caribbean small states","CSS","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","345.604248046875","402.608551025391","434.378082275391","471.979583740234","609.482727050781","677.831970214844","795.288818359375","916.650634765625","986.916748046875","1029.19750976563","1011.38116455078","1065.75183105469","1077.70043945313","1063.79150390625","1017.46435546875","1036.13049316406","1064.92504882813","1009.05438232422","1000.23162841797","","",
"Czech Republic","CZE","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1252.39477539063","1216.80004882813","1217.22424316406","1313.23046875","1346.21447753906","1459.1279296875","1460.53051757813","1543.95666503906","1591.83654785156","2356.07861328125","2550.64794921875","2691.796875","2857.42578125","2742.41772460938","2774.02099609375","2903.0576171875","3137.61572265625","3234.80712890625","3400.44458007813","3591.2724609375","3518.81884765625","","",
"Germany","DEU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2826.9599609375","2893.17041015625","2916.7392578125","3125.74829101563","3164.57348632813","3242.5615234375","3257.0263671875","3292.36791992188","3306.77124023438","3332.23803710938","3431.69970703125","3575.57250976563","3730.27661132813","3919.03173828125","4054.60571289063","4184.75341796875","4347.29736328125","4361.8134765625","4318.62158203125","4748.4091796875","4893.15283203125","","",
"Djibouti","DJI","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3177.82006835938","3317.91577148438","","3559.90307617188","","3630.60375976563","4754.85693359375","4618.9228515625","4843.25390625","5197.447265625","5298.43359375","5516.3193359375","6493.8173828125","6656.89892578125","6739.18115234375","7018.0712890625","7143.59814453125","7071.54931640625","7311.02197265625","7457.77392578125","7514.70166015625","","",
"Dominican Republic","DOM","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","168.016296386719","","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","417.112129588011","434.267884547098","366.293747188708","391.440945233353","491.08426119654","496.546384832892","535.581231281501","608.807828479655","701.064457016173","777.057939859683","909.91460588738","971.640135226954","1172.80579825495","691.420682591629","902.36003331956","903.388520303259","1037.09543023822","984.712404130981","1109.60794397296","1127.91517427006","1198.86484077732","","",
"Early-demographic dividend","EAR","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","182.540873881961","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","887.52778958078","872.458778056829","861.99087778228","850.65877044832","927.684082499361","904.109880653475","969.036314281984","1057.0987341488","1209.70681290203","1238.67169805964","1440.46897094009","1436.88460313756","1672.76832290686","1116.03373244101","1459.43113364583","1387.5077112334","1557.71386589676","1461.81539589681","1638.69761938562","1605.42866105179","1726.24992716724","","",
"Europe & Central Asia (excluding high income)","ECA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2164.61152284488","2150.04344517979","2104.90695404678","2071.29434082756","2037.59272298024","2017.03446989023","1928.81980305095","1874.47088025367","1834.60238913118","1820.26151341153","1827.75362713581","1843.0048822785","1842.96739455665","1834.69253723196","1835.64850530542","1859.80092354906","1976.61857457194","","",
"Europe & Central Asia","ECS","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2283.71562383244","2243.32290312208","2184.15061931245","2278.46480113336","2265.29472432713","2338.08957961009","2346.3408277995","2409.77454421746","2527.86580434946","2577.57507782185","2568.35505794431","2565.35299826425","2635.897622594","2657.54455267207","2709.22299986639","2734.14299640707","2804.28879253532","2831.58675682129","2872.16837806503","2994.52531335608","3113.52468627433","","",
"Ecuador","ECU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.1359024047852","78.1551818847656","83.3615188598633","","","39.9914283752441","42.0744705200195","48.5341911315918","","","70.5209503173828","65.0454406738281","103.233329772949","118.35009765625","141.300033569336","180.294555664063","282.159149169922","351.689392089844","400.714019775391","","","","",
"Egypt, Arab Rep.","EGY","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","620.62744140625","431.464172363281","426.338317871094","484.523345947266","483.929931640625","508.951629638672","530.601989746094","665.034790039063","663.356384277344","680.302795410156","","",
